event:id,concept:name,start_timestamp,time:timestamp,event:duration_min,org:resource,org:role,case:concept:name,case:case_type,case:amount,case:region
evt_00000001,a,2020-01-01 02:02:48,2020-01-01 02:25:31,22.71518515,res_001,role_01,case_000001,type_02,1363.27,DE-BW
evt_00000002,c,2020-01-01 02:27:17,2020-01-01 02:41:44,14.447348433333334,res_008,role_02,case_000001,type_02,1363.27,DE-BW
evt_00000003,e,2020-01-01 02:45:04,2020-01-01 02:59:29,14.4156163,res_008,role_02,case_000001,type_02,1363.27,DE-BW
evt_00000004,b,2020-01-01 03:00:23,2020-01-01 03:14:03,13.66883655,res_004,role_02,case_000001,type_02,1363.27,DE-BW
evt_00000005,d,2020-01-01 03:14:48,2020-01-01 03:29:52,15.071492666666668,res_005,role_01,case_000001,type_02,1363.27,DE-BW
evt_00000006,f,2020-01-01 03:29:59,2020-01-01 03:43:56,13.954168333333334,res_006,role_02,case_000001,type_02,1363.27,DE-BW
evt_00000007,a,2020-01-01 04:09:35,2020-01-01 04:36:45,27.174869049999998,res_003,role_01,case_000002,type_03,848.43,DE-BY
evt_00000008,c,2020-01-01 04:36:47,2020-01-01 04:55:07,18.340257,res_008,role_02,case_000002,type_03,848.43,DE-BY
evt_00000009,e,2020-01-01 04:55:54,2020-01-01 05:11:37,15.711445466666667,res_008,role_02,case_000002,type_03,848.43,DE-BY
evt_00000010,b,2020-01-01 05:12:34,2020-01-01 05:19:34,7.01022385,res_007,role_01,case_000002,type_03,848.43,DE-BY
evt_00000011,d,2020-01-01 05:20:10,2020-01-01 05:37:37,17.442202766666664,res_006,role_02,case_000002,type_03,848.43,DE-BY
evt_00000012,f,2020-01-01 05:37:44,2020-01-01 06:02:39,24.920081916666668,res_006,role_02,case_000002,type_03,848.43,DE-BY
evt_00000013,a,2020-01-01 04:22:53,2020-01-01 04:39:15,16.362113733333334,res_004,role_02,case_000003,type_02,704.93,DE-HE
evt_00000014,c,2020-01-01 04:40:33,2020-01-01 04:55:34,15.018815466666666,res_005,role_01,case_000003,type_02,704.93,DE-HE
evt_00000015,e,2020-01-01 04:56:37,2020-01-01 05:11:41,15.077203733333333,res_008,role_02,case_000003,type_02,704.93,DE-HE
evt_00000016,b,2020-01-01 05:12:12,2020-01-01 05:24:23,12.189776716666668,res_002,role_02,case_000003,type_02,704.93,DE-HE
evt_00000017,d,2020-01-01 05:25:18,2020-01-01 05:40:39,15.346468166666666,res_007,role_01,case_000003,type_02,704.93,DE-HE
evt_00000018,f,2020-01-01 05:43:00,2020-01-01 05:53:43,10.715315566666668,res_003,role_01,case_000003,type_02,704.93,DE-HE
evt_00000019,a,2020-01-01 05:05:15,2020-01-01 05:22:15,16.992562916666667,res_001,role_01,case_000004,type_01,836.6,DE-BE
evt_00000020,c,2020-01-01 05:22:51,2020-01-01 05:34:37,11.75838105,res_008,role_02,case_000004,type_01,836.6,DE-BE
evt_00000021,e,2020-01-01 05:35:47,2020-01-01 05:49:23,13.600618716666666,res_001,role_01,case_000004,type_01,836.6,DE-BE
evt_00000022,b,2020-01-01 05:49:35,2020-01-01 05:58:56,9.345743333333333,res_001,role_01,case_000004,type_01,836.6,DE-BE
evt_00000023,d,2020-01-01 06:00:06,2020-01-01 06:10:45,10.652311166666667,res_006,role_02,case_000004,type_01,836.6,DE-BE
evt_00000024,f,2020-01-01 06:14:45,2020-01-01 06:31:41,16.918634766666667,res_008,role_02,case_000004,type_01,836.6,DE-BE
evt_00000025,a,2020-01-01 06:55:27,2020-01-01 07:09:10,13.703305116666666,res_001,role_01,case_000005,type_01,717.04,DE-BE
evt_00000026,c,2020-01-01 07:10:17,2020-01-01 07:19:54,9.615485966666666,res_008,role_02,case_000005,type_01,717.04,DE-BE
evt_00000027,e,2020-01-01 07:21:08,2020-01-01 07:41:45,20.618549033333334,res_002,role_02,case_000005,type_01,717.04,DE-BE
evt_00000028,b,2020-01-01 07:42:24,2020-01-01 07:55:54,13.498668216666665,res_004,role_02,case_000005,type_01,717.04,DE-BE
evt_00000029,d,2020-01-01 07:57:03,2020-01-01 08:06:19,9.259343966666668,res_006,role_02,case_000005,type_01,717.04,DE-BE
evt_00000030,f,2020-01-01 08:06:47,2020-01-01 08:26:17,19.503732233333334,res_008,role_02,case_000005,type_01,717.04,DE-BE
evt_00000031,a,2020-01-01 07:02:50,2020-01-01 07:17:07,14.278211050000001,res_001,role_01,case_000006,type_01,1280.47,DE-NRW
evt_00000032,c,2020-01-01 07:17:38,2020-01-01 07:20:44,3.0974854333333335,res_008,role_02,case_000006,type_01,1280.47,DE-NRW
evt_00000033,e,2020-01-01 07:20:49,2020-01-01 07:27:57,7.131313016666667,res_007,role_01,case_000006,type_01,1280.47,DE-NRW
evt_00000034,b,2020-01-01 07:28:09,2020-01-01 07:41:40,13.510029433333333,res_002,role_02,case_000006,type_01,1280.47,DE-NRW
evt_00000035,d,2020-01-01 07:42:16,2020-01-01 07:51:36,9.339022966666667,res_007,role_01,case_000006,type_01,1280.47,DE-NRW
evt_00000036,f,2020-01-01 07:54:08,2020-01-01 08:02:28,8.328334566666665,res_002,role_02,case_000006,type_01,1280.47,DE-NRW
evt_00000037,a,2020-01-01 07:13:25,2020-01-01 07:20:30,7.083531866666666,res_006,role_02,case_000007,type_01,1250.38,DE-HE
evt_00000038,c,2020-01-01 07:21:06,2020-01-01 07:39:04,17.971643833333335,res_008,role_02,case_000007,type_01,1250.38,DE-HE
evt_00000039,e,2020-01-01 07:40:28,2020-01-01 07:50:40,10.215828983333333,res_006,role_02,case_000007,type_01,1250.38,DE-HE
evt_00000040,b,2020-01-01 07:52:58,2020-01-01 07:56:41,3.7280187666666667,res_006,role_02,case_000007,type_01,1250.38,DE-HE
evt_00000041,d,2020-01-01 07:56:53,2020-01-01 08:08:34,11.680895433333335,res_006,role_02,case_000007,type_01,1250.38,DE-HE
evt_00000042,f,2020-01-01 08:09:32,2020-01-01 08:26:04,16.53716783333333,res_005,role_01,case_000007,type_01,1250.38,DE-HE
evt_00000043,a,2020-01-01 08:45:18,2020-01-01 09:05:45,20.460002366666668,res_001,role_01,case_000008,type_03,823.2,DE-BW
evt_00000044,c,2020-01-01 09:06:33,2020-01-01 09:20:00,13.456104216666667,res_008,role_02,case_000008,type_03,823.2,DE-BW
evt_00000045,e,2020-01-01 09:20:01,2020-01-01 09:41:58,21.93997188333333,res_008,role_02,case_000008,type_03,823.2,DE-BW
evt_00000046,b,2020-01-01 09:42:17,2020-01-01 09:58:49,16.540972083333333,res_002,role_02,case_000008,type_03,823.2,DE-BW
evt_00000047,d,2020-01-01 09:59:57,2020-01-01 10:16:52,16.922909333333333,res_006,role_02,case_000008,type_03,823.2,DE-BW
evt_00000048,f,2020-01-01 10:18:07,2020-01-01 10:25:43,7.611473133333333,res_002,role_02,case_000008,type_03,823.2,DE-BW
evt_00000049,a,2020-01-01 12:01:50,2020-01-01 12:09:29,7.650525583333334,res_001,role_01,case_000009,type_02,1403.72,DE-BW
evt_00000050,c,2020-01-01 12:10:08,2020-01-01 12:21:21,11.211362866666667,res_006,role_02,case_000009,type_02,1403.72,DE-BW
evt_00000051,e,2020-01-01 12:22:12,2020-01-01 12:41:02,18.8329202,res_008,role_02,case_000009,type_02,1403.72,DE-BW
evt_00000052,b,2020-01-01 12:42:56,2020-01-01 13:02:04,19.140782716666667,res_002,role_02,case_000009,type_02,1403.72,DE-BW
evt_00000053,d,2020-01-01 13:02:15,2020-01-01 13:17:36,15.357987816666668,res_006,role_02,case_000009,type_02,1403.72,DE-BW
evt_00000054,f,2020-01-01 13:17:42,2020-01-01 13:33:47,16.0879658,res_002,role_02,case_000009,type_02,1403.72,DE-BW
evt_00000055,a,2020-01-01 16:45:30,2020-01-01 17:00:33,15.037899266666667,res_001,role_01,case_000010,type_02,1298.1,DE-HE
evt_00000056,c,2020-01-01 17:01:34,2020-01-01 17:17:12,15.634684083333333,res_006,role_02,case_000010,type_02,1298.1,DE-HE
evt_00000057,e,2020-01-01 17:17:54,2020-01-01 17:24:54,6.992251616666667,res_007,role_01,case_000010,type_02,1298.1,DE-HE
evt_00000058,b,2020-01-01 17:25:14,2020-01-01 17:36:03,10.822429033333332,res_001,role_01,case_000010,type_02,1298.1,DE-HE
evt_00000059,d,2020-01-01 17:36:24,2020-01-01 17:55:43,19.323239683333334,res_006,role_02,case_000010,type_02,1298.1,DE-HE
evt_00000060,f,2020-01-01 17:57:43,2020-01-01 18:17:34,19.85054016666667,res_002,role_02,case_000010,type_02,1298.1,DE-HE
evt_00000061,a,2020-01-01 17:59:41,2020-01-01 18:15:10,15.4836549,res_001,role_01,case_000011,type_01,1311.0,DE-BY
evt_00000062,c,2020-01-01 18:15:49,2020-01-01 18:23:43,7.8991220166666665,res_008,role_02,case_000011,type_01,1311.0,DE-BY
evt_00000063,e,2020-01-01 18:24:52,2020-01-01 18:31:58,7.1036035166666665,res_008,role_02,case_000011,type_01,1311.0,DE-BY
evt_00000064,b,2020-01-01 18:32:25,2020-01-01 18:48:39,16.2277827,res_002,role_02,case_000011,type_01,1311.0,DE-BY
evt_00000065,d,2020-01-01 18:48:53,2020-01-01 19:02:26,13.54418055,res_007,role_01,case_000011,type_01,1311.0,DE-BY
evt_00000066,f,2020-01-01 19:03:44,2020-01-01 19:19:51,16.1145779,res_006,role_02,case_000011,type_01,1311.0,DE-BY
evt_00000067,a,2020-01-01 20:17:08,2020-01-01 20:26:18,9.160377933333333,res_001,role_01,case_000012,type_02,850.04,DE-BW
evt_00000068,c,2020-01-01 20:26:23,2020-01-01 20:37:35,11.211179283333333,res_002,role_02,case_000012,type_02,850.04,DE-BW
evt_00000069,e,2020-01-01 20:38:25,2020-01-01 20:51:14,12.806789049999999,res_003,role_01,case_000012,type_02,850.04,DE-BW
evt_00000070,b,2020-01-01 20:54:18,2020-01-01 21:05:34,11.26620965,res_002,role_02,case_000012,type_02,850.04,DE-BW
evt_00000071,d,2020-01-01 21:05:58,2020-01-01 21:23:01,17.056851083333335,res_006,role_02,case_000012,type_02,850.04,DE-BW
evt_00000072,f,2020-01-01 21:23:29,2020-01-01 21:37:40,14.18499185,res_002,role_02,case_000012,type_02,850.04,DE-BW
evt_00000073,a,2020-01-01 21:36:46,2020-01-01 21:49:14,12.48048255,res_001,role_01,case_000013,type_02,837.19,DE-BE
evt_00000074,c,2020-01-01 21:50:18,2020-01-01 22:05:54,15.59569955,res_003,role_01,case_000013,type_02,837.19,DE-BE
evt_00000075,e,2020-01-01 22:08:37,2020-01-01 22:22:33,13.929786333333334,res_004,role_02,case_000013,type_02,837.19,DE-BE
evt_00000076,b,2020-01-01 22:22:37,2020-01-01 22:35:44,13.11487305,res_003,role_01,case_000013,type_02,837.19,DE-BE
evt_00000077,d,2020-01-01 22:36:19,2020-01-01 22:49:53,13.5806825,res_006,role_02,case_000013,type_02,837.19,DE-BE
evt_00000078,f,2020-01-01 22:50:26,2020-01-01 23:07:37,17.176750783333333,res_002,role_02,case_000013,type_02,837.19,DE-BE
evt_00000079,a,2020-01-01 23:15:38,2020-01-01 23:39:28,23.8434125,res_001,role_01,case_000014,type_01,556.84,DE-BY
evt_00000080,c,2020-01-01 23:39:48,2020-01-01 23:57:39,17.8556424,res_003,role_01,case_000014,type_01,556.84,DE-BY
evt_00000081,e,2020-01-01 23:59:55,2020-01-02 00:04:18,4.377637166666667,res_007,role_01,case_000014,type_01,556.84,DE-BY
