log_id,window_start,active_cases,new_arrivals,completions,total_events,mean_delta_t,std_delta_t,stalled_cases,res_events_total,res_events_max,res_events_std,res_active_total,res_n_busy,res_duration_mean,res_wait_mean,res_handover_total,res_handover_unique,intra_S0,intra_S1,intra_S2,intra_S3,intra_S4,intra_S5,intra_S6,intra_S7,intra_S8,drift_control_flow,drift_data,drift_inter_case,drift_resource,drift_any
training_009,2020-01-01 00:33:05.862845+00:00,5.0,5.0,4.0,29.0,2.299675204868159,1.0745195398359126,0.0,29,12,4.121210380458634,16,7.0,9.418676911516204,1.8736145683742258,19.0,14.0,0.13793103448275862,0.0,0.13793103448275862,0.06896551724137931,0.13793103448275862,0.13793103448275862,0.1724137931034483,0.034482758620689655,0.1724137931034483,0,0,0,0,0
training_009,2020-01-01 08:33:05.862845+00:00,8.0,7.0,7.0,40.0,2.1690080425281613,0.9121469510331953,0.0,40,9,2.1213203435596424,37,8.0,10.018673931633597,1.9806673514202902,33.0,21.0,0.125,0.0,0.15,0.05,0.15,0.15,0.2,0.025,0.15,0,0,0,0,0
training_009,2020-01-01 16:33:05.862845+00:00,10.0,9.0,9.0,56.0,1.7357783259771082,0.9385611730801704,0.0,56,14,3.6742346141747673,44,8.0,9.550704597137896,2.17310714753164,44.0,25.0,0.125,0.0,0.14285714285714285,0.03571428571428571,0.16071428571428573,0.19642857142857142,0.19642857142857142,0.03571428571428571,0.10714285714285714,0,0,0,0,0
training_009,2020-01-02 00:33:05.862845+00:00,7.0,6.0,5.0,32.0,2.1201713363348507,1.0704508863589426,0.0,32,8,2.29128784747792,25,8.0,10.89257277031002,2.098098551140121,25.0,20.0,0.1875,0.0,0.125,0.03125,0.15625,0.125,0.1875,0.0,0.1875,0,0,0,0,0
training_009,2020-01-02 08:33:05.862845+00:00,9.0,7.0,9.0,47.0,1.722390940420005,1.0331857375429703,0.0,47,11,2.9341736485763756,34,8.0,11.372804728133417,2.265475454527053,37.0,25.0,0.1276595744680851,0.02127659574468085,0.1702127659574468,0.0425531914893617,0.1276595744680851,0.2127659574468085,0.14893617021276595,0.0425531914893617,0.10638297872340426,0,0,0,0,0
training_009,2020-01-02 16:33:05.862845+00:00,12.0,12.0,11.0,70.0,1.499445096817089,0.8685809585090188,0.0,70,19,5.379358697837503,56,8.0,8.675764624708957,2.0130790433730272,56.0,29.0,0.11428571428571428,0.0,0.11428571428571428,0.08571428571428572,0.12857142857142856,0.14285714285714285,0.2,0.11428571428571428,0.1,0,0,0,0,0
training_009,2020-01-03 00:33:05.862845+00:00,5.0,4.0,5.0,26.0,2.0846506665134106,1.155690426734742,0.0,26,8,2.277608394786075,19,8.0,11.289704559600693,2.3822860029089874,20.0,16.0,0.07692307692307693,0.0,0.15384615384615385,0.038461538461538464,0.15384615384615385,0.23076923076923078,0.19230769230769232,0.038461538461538464,0.11538461538461539,0,0,0,0,0
training_009,2020-01-03 08:33:05.862845+00:00,12.0,12.0,12.0,72.0,1.6338698488200047,0.804829730857553,0.0,72,17,3.4641016151377544,56,8.0,12.399629003674281,2.416180651766353,55.0,34.0,0.09722222222222222,0.0,0.1527777777777778,0.027777777777777776,0.16666666666666666,0.18055555555555555,0.20833333333333334,0.013888888888888888,0.1527777777777778,0,0,0,0,0
training_009,2020-01-03 16:33:05.862845+00:00,6.0,6.0,5.0,35.0,2.1020995460367042,1.013687032590168,0.0,35,10,3.07967124868873,24,8.0,10.485510350208333,2.1500831177408477,24.0,17.0,0.14285714285714285,0.0,0.14285714285714285,0.05714285714285714,0.14285714285714285,0.17142857142857143,0.17142857142857143,0.02857142857142857,0.14285714285714285,0,0,0,0,0
training_009,2020-01-04 00:33:05.862845+00:00,11.0,10.0,11.0,61.0,1.6984313447706085,0.8184879464186755,0.0,61,18,4.414110895752394,44,8.0,11.90590995392361,2.3556477612667375,47.0,28.0,0.16393442622950818,0.0,0.16393442622950818,0.01639344262295082,0.13114754098360656,0.16393442622950818,0.19672131147540983,0.01639344262295082,0.14754098360655737,0,0,0,0,0
