log_id,window_start,active_cases,new_arrivals,completions,total_events,mean_delta_t,std_delta_t,stalled_cases,res_events_total,res_events_max,res_events_std,res_active_total,res_n_busy,res_duration_mean,res_wait_mean,res_handover_total,res_handover_unique,intra_S0,intra_S1,intra_S2,intra_S3,intra_S4,intra_S5,intra_S6,intra_S7,intra_S8,drift_control_flow,drift_data,drift_inter_case,drift_resource,drift_any
training_008,2020-01-01 01:29:25.382694+00:00,11.0,11.0,11.0,66.0,1.7387854238194875,0.8161081265575639,0.0,66,12,3.583294573433783,54,10.0,10.037756858115742,2.2100862936539527,51.0,33.0,0.15151515151515152,0.030303030303030304,0.16666666666666666,0.13636363636363635,0.15151515151515152,0.015151515151515152,0.16666666666666666,0.015151515151515152,0.16666666666666666,0,0,0,0,0
training_008,2020-01-01 09:29:25.382694+00:00,6.0,6.0,6.0,36.0,2.0953859611954684,0.8195859281167914,0.0,36,8,2.4576411454889016,28,9.0,9.639279430791666,2.1457954606145138,27.0,22.0,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.0,0.16666666666666666,0.0,0.16666666666666666,0,0,0,0,0
training_008,2020-01-01 17:29:25.382694+00:00,7.0,7.0,6.0,41.0,1.7727362785595246,1.03133671077835,0.0,41,8,2.507987240796891,32,9.0,8.389190176621032,2.0055305700875996,31.0,22.0,0.17073170731707318,0.0,0.17073170731707318,0.14634146341463414,0.17073170731707318,0.04878048780487805,0.07317073170731707,0.07317073170731707,0.14634146341463414,0,0,0,0,0
training_008,2020-01-02 01:29:25.382694+00:00,7.0,6.0,6.0,36.0,2.2432212963124436,0.9189417090260973,0.0,36,7,2.009975124224178,31,10.0,9.191333365873017,2.1598591154920075,29.0,19.0,0.16666666666666666,0.027777777777777776,0.16666666666666666,0.16666666666666666,0.1388888888888889,0.027777777777777776,0.16666666666666666,0.0,0.1388888888888889,0,0,0,0,0
training_008,2020-01-02 09:29:25.382694+00:00,7.0,6.0,6.0,36.0,2.0836639333284226,1.0011793259551731,0.0,36,7,2.4979991993593593,30,8.0,8.284831294880954,1.7989247052448025,29.0,20.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0,0,0,0,0
training_008,2020-01-02 17:29:25.382694+00:00,5.0,4.0,5.0,25.0,2.151499723010661,1.1694635315468256,0.0,25,6,1.91049731745428,20,8.0,8.128808900083333,1.7976853756800228,20.0,17.0,0.16,0.08,0.16,0.16,0.08,0.08,0.16,0.04,0.08,0,0,0,0,0
training_008,2020-01-03 01:29:25.382694+00:00,4.0,4.0,4.0,24.0,2.1790257500842367,1.1613664097918701,0.0,24,6,2.244994432064365,18,8.0,7.647214399888888,1.6977717107720616,19.0,15.0,0.125,0.0,0.25,0.16666666666666666,0.125,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0,0,0,0,0
training_008,2020-01-03 09:29:25.382694+00:00,9.0,9.0,8.0,51.0,1.74058295506255,0.7954941689123971,0.0,51,11,3.0805843601498726,43,10.0,9.724474925909089,2.3168402505133647,38.0,29.0,0.1568627450980392,0.0196078431372549,0.19607843137254902,0.1568627450980392,0.13725490196078433,0.0,0.1568627450980392,0.0196078431372549,0.1568627450980392,0,0,0,0,0
training_008,2020-01-03 17:29:25.382694+00:00,5.0,4.0,5.0,27.0,2.027389995657832,1.1119268588588642,0.0,27,5,1.6155494421403513,23,10.0,12.324781059805556,2.2190424762174468,22.0,16.0,0.18518518518518517,0.037037037037037035,0.14814814814814814,0.18518518518518517,0.1111111111111111,0.037037037037037035,0.18518518518518517,0.0,0.1111111111111111,0,0,0,0,0
training_008,2020-01-04 01:29:25.382694+00:00,6.0,6.0,5.0,34.0,2.175434280067145,1.0581583635560405,0.0,34,7,2.4979991993593593,27,9.0,10.785864872936509,2.2773418560800374,25.0,17.0,0.17647058823529413,0.0,0.17647058823529413,0.14705882352941177,0.17647058823529413,0.0,0.14705882352941177,0.0,0.17647058823529413,0,0,0,0,0
training_008,2020-01-04 09:29:25.382694+00:00,5.0,4.0,5.0,26.0,1.9260817010937084,0.9645339585954779,0.0,26,5,1.3564659966250538,22,10.0,8.710613012361112,2.2548178435608754,21.0,19.0,0.15384615384615385,0.0,0.15384615384615385,0.19230769230769232,0.15384615384615385,0.0,0.15384615384615385,0.038461538461538464,0.15384615384615385,0,0,0,0,0
