log_id,window_start,active_cases,new_arrivals,completions,total_events,mean_delta_t,std_delta_t,stalled_cases,res_events_total,res_events_max,res_events_std,res_active_total,res_n_busy,res_duration_mean,res_wait_mean,res_handover_total,res_handover_unique,intra_S0,intra_S1,intra_S2,intra_S3,intra_S4,intra_S5,intra_S6,intra_S7,intra_S8,drift_control_flow,drift_data,drift_inter_case,drift_resource,drift_any
training_021,2020-01-01 01:07:37.626628+00:00,9.0,9.0,8.0,50.0,2.4195891148123616,0.8075346839218661,0.0,50,10,2.932575659723036,36,9.0,14.165621078210318,2.46191864889585,32.0,28.0,0.18,0.04,0.14,0.02,0.14,0.04,0.14,0.16,0.14,0,0,0,0,0
training_021,2020-01-01 13:07:37.626628+00:00,8.0,7.0,6.0,40.0,2.516552730502155,0.9483841768460697,0.0,40,10,3.0983866769659336,32,9.0,13.7964587979127,2.435956999626303,31.0,19.0,0.2,0.025,0.125,0.0,0.15,0.05,0.15,0.15,0.15,0,0,0,0,0
training_021,2020-01-02 01:07:37.626628+00:00,16.0,14.0,15.0,89.0,1.8740991907822946,0.8467655676489085,0.0,89,20,5.281098370604358,71,10.0,16.30648330668939,2.769950828151344,67.0,40.0,0.15730337078651685,0.02247191011235955,0.14606741573033707,0.02247191011235955,0.16853932584269662,0.02247191011235955,0.14606741573033707,0.16853932584269662,0.14606741573033707,0,0,0,0,0
training_021,2020-01-02 13:07:37.626628+00:00,12.0,11.0,9.0,53.0,2.23362075347867,0.9947885610024738,0.0,53,12,3.348133808556641,42,10.0,17.418923258260584,2.5861460313530378,41.0,30.0,0.22641509433962265,0.018867924528301886,0.1320754716981132,0.03773584905660377,0.1320754716981132,0.05660377358490566,0.11320754716981132,0.16981132075471697,0.11320754716981132,0,0,0,0,0
training_021,2020-01-03 01:07:37.626628+00:00,10.0,7.0,10.0,56.0,2.009070277981152,0.9996812318301878,0.0,56,11,3.6110940170535573,44,9.0,15.208361416533672,2.5006330098182743,44.0,25.0,0.125,0.017857142857142856,0.16071428571428573,0.017857142857142856,0.16071428571428573,0.03571428571428571,0.14285714285714285,0.17857142857142858,0.16071428571428573,0,0,0,0,0
training_021,2020-01-03 13:07:37.626628+00:00,8.0,8.0,6.0,39.0,2.1918830790484343,1.1068477986954939,0.0,39,9,3.5341194094144583,32,8.0,11.430369604537038,2.0615067097892874,28.0,21.0,0.23076923076923078,0.07692307692307693,0.10256410256410256,0.05128205128205128,0.1282051282051282,0.07692307692307693,0.10256410256410256,0.1282051282051282,0.10256410256410256,0,0,0,0,0
training_021,2020-01-04 01:07:37.626628+00:00,11.0,9.0,9.0,57.0,2.147620696286364,0.9805961017891814,0.0,57,10,2.968164415931166,45,10.0,11.686810309107143,2.3801133741466876,42.0,30.0,0.17543859649122806,0.017543859649122806,0.14035087719298245,0.08771929824561403,0.12280701754385964,0.08771929824561403,0.10526315789473684,0.15789473684210525,0.10526315789473684,0,0,0,0,0
training_021,2020-01-04 13:07:37.626628+00:00,6.0,4.0,5.0,25.0,2.3310856908155904,1.2326866962520813,0.0,25,6,1.91049731745428,21,9.0,11.924290595916668,2.1764380216498966,19.0,17.0,0.16,0.04,0.08,0.08,0.12,0.08,0.08,0.2,0.16,0,0,0,0,0
training_021,2020-01-05 01:07:37.626628+00:00,11.0,10.0,9.0,61.0,2.091742416443295,0.9495923261354158,0.0,61,13,3.8587562763149474,47,9.0,12.847434605108393,2.2258406643031123,46.0,31.0,0.16393442622950818,0.01639344262295082,0.16393442622950818,0.06557377049180328,0.13114754098360656,0.08196721311475409,0.13114754098360656,0.13114754098360656,0.11475409836065574,0,0,0,0,0
training_021,2020-01-05 13:07:37.626628+00:00,8.0,6.0,7.0,38.0,2.475917248517477,1.0195832438467824,0.0,38,9,2.6758176320519307,28,10.0,13.369399648037037,2.53560997244478,29.0,22.0,0.15789473684210525,0.02631578947368421,0.13157894736842105,0.05263157894736842,0.18421052631578946,0.02631578947368421,0.10526315789473684,0.15789473684210525,0.15789473684210525,0,0,0,0,0
training_021,2020-01-06 01:07:37.626628+00:00,12.0,11.0,12.0,68.0,1.983733762625458,0.9093361633387884,0.0,68,16,4.534313619501853,53,10.0,15.866079365749007,2.7624368795396195,50.0,32.0,0.17647058823529413,0.014705882352941176,0.1323529411764706,0.04411764705882353,0.14705882352941177,0.04411764705882353,0.1323529411764706,0.17647058823529413,0.1323529411764706,0,0,0,0,0
